date,method,solver_success,soc_violations,power_violations,simultaneous_charge_discharge_violations,soc_transition_violations,max_abs_soc_transition_error,initial_soc_error,terminal_soc_error,nan_or_inf_count
2017-12-27,Persistence,True,0,0,0,0,1.9326762412674725e-12,0.0,0.0,0
2017-12-28,Persistence,True,0,0,0,0,2.2737367544323206e-12,0.0,0.0,0
2017-12-29,Persistence,True,0,0,0,0,4.206412995699793e-12,0.0,0.0,0
2017-12-30,Persistence,True,0,0,0,0,3.865352482534945e-12,0.0,0.0,0
2017-12-31,Persistence,True,0,0,0,0,2.4442670110147446e-12,0.0,0.0,0
2017-12-02,Last-week,True,0,0,0,0,1.1368683772161603e-12,0.0,0.0,0
2017-12-03,Last-week,True,0,0,0,0,3.240074875066057e-12,0.0,0.0,0
2017-12-04,Last-week,True,0,0,0,0,6.536993168992922e-12,0.0,0.0,0
2017-12-05,Last-week,True,0,0,0,0,4.206412995699793e-12,0.0,0.0,0
2017-12-06,Last-week,True,0,0,0,0,4.263256414560601e-12,0.0,0.0,0
2017-12-07,Last-week,True,0,0,0,0,3.637978807091713e-12,0.0,0.0,0
2017-12-08,Last-week,True,0,0,0,0,5.115907697472721e-12,0.0,0.0,0
2017-12-09,Last-week,True,0,0,0,0,4.263256414560601e-12,0.0,0.0,0
2017-12-10,Last-week,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
2017-12-11,Last-week,True,0,0,0,0,3.922195901395753e-12,0.0,0.0,0
2017-12-12,Last-week,True,0,0,0,0,3.0127011996228248e-12,0.0,0.0,0
2017-12-13,Last-week,True,0,0,0,0,1.4779288903810084e-12,0.0,0.0,0
2017-12-14,Last-week,True,0,0,0,0,3.922195901395753e-12,0.0,0.0,0
2017-12-15,Last-week,True,0,0,0,0,3.979039320256561e-12,0.0,0.0,0
2017-12-16,Last-week,True,0,0,0,0,5.4001247917767614e-12,0.0,0.0,0
2017-12-17,Last-week,True,0,0,0,0,2.5579538487363607e-12,0.0,0.0,0
2017-12-18,Last-week,True,0,0,0,0,2.1600499167107046e-12,0.0,0.0,0
2017-12-19,Last-week,True,0,0,0,0,4.206412995699793e-12,0.0,0.0,0
2017-12-20,Last-week,True,0,0,0,0,4.774847184307873e-12,0.0,0.0,0
2017-12-21,Last-week,True,0,0,0,0,1.7053025658242404e-12,0.0,0.0,0
2017-12-22,Last-week,True,0,0,0,0,3.296918293926865e-12,0.0,0.0,0
2017-12-23,Last-week,True,0,0,0,0,4.718003765447065e-12,0.0,0.0,0
2017-12-24,Last-week,True,0,0,0,0,2.3874235921539366e-12,0.0,0.0,0
2017-12-25,Last-week,True,0,0,0,0,1.9895196601282805e-12,0.0,0.0,0
2017-12-26,Last-week,True,0,0,0,0,4.263256414560601e-12,0.0,0.0,0
2017-12-27,Last-week,True,0,0,0,0,3.183231456205249e-12,0.0,0.0,0
2017-12-28,Last-week,True,0,0,0,0,4.092726157978177e-12,0.0,0.0,0
2017-12-29,Last-week,True,0,0,0,0,3.581135388230905e-12,0.0,0.0,0
2017-12-30,Last-week,True,0,0,0,0,3.524291969370097e-12,0.0,0.0,0
2017-12-31,Last-week,True,0,0,0,0,1.4779288903810084e-12,0.0,0.0,0
2017-12-02,Day-week blend (w_week=0.5),True,0,0,0,0,5.4569682106375694e-12,0.0,0.0,0
2017-12-03,Day-week blend (w_week=0.5),True,0,0,0,0,4.092726157978177e-12,0.0,0.0,0
2017-12-04,Day-week blend (w_week=0.5),True,0,0,0,0,6.0254023992456496e-12,0.0,0.0,0
2017-12-05,Day-week blend (w_week=0.5),True,0,0,0,0,2.8421709430404007e-12,0.0,0.0,0
2017-12-06,Day-week blend (w_week=0.5),True,0,0,0,0,2.7853275241795927e-12,0.0,0.0,0
2017-12-07,Day-week blend (w_week=0.5),True,0,0,0,0,1.5347723092418164e-12,0.0,0.0,0
2017-12-08,Day-week blend (w_week=0.5),True,0,0,0,0,1.1937117960769683e-12,0.0,0.0,0
2017-12-09,Day-week blend (w_week=0.5),True,0,0,0,0,3.581135388230905e-12,0.0,0.0,0
2017-12-10,Day-week blend (w_week=0.5),True,0,0,0,0,5.4569682106375694e-12,0.0,0.0,0
2017-12-11,Day-week blend (w_week=0.5),True,0,0,0,0,3.865352482534945e-12,0.0,0.0,0
2017-12-12,Day-week blend (w_week=0.5),True,0,0,0,0,2.5011104298755527e-12,0.0,0.0,0
2017-12-13,Day-week blend (w_week=0.5),True,0,0,0,0,3.467448550509289e-12,0.0,0.0,0
2017-12-14,Day-week blend (w_week=0.5),True,0,0,0,0,3.581135388230905e-12,0.0,0.0,0
2017-12-15,Day-week blend (w_week=0.5),True,0,0,0,0,1.9326762412674725e-12,0.0,0.0,0
2017-12-16,Day-week blend (w_week=0.5),True,0,0,0,0,7.958078640513122e-13,0.0,0.0,0
