date,method,lambda,alpha,scenario_count,residual_block_count,negative_values_clipped,sampled_indices_sha256,scenario_min_load,scenario_max_load,scenario_expected_peak,scenario_cvar_peak,stage
2017-11-18,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,ba34045b6391cad3c03bf1aa6e1cfe435d67ec3f5e200dd0f8b134c4cb08ebd9,376.0070384331,815.3323520341,451.0742584588,548.4380650801,validation_selection
2017-11-19,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,5449bd2d7b1901d526908f12dcf4f82c36f30ff87d850dd333d1ad64134e3acc,363.3792834464,814.9515343627,437.7950307360,485.1815172694,validation_selection
2017-11-20,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,e3bbebf5dd88f3a590ed89597a5e73e936195d0f4aa897021f2c5b56999c662b,382.7746912461,813.8641755733,469.5127440135,586.0694783622,validation_selection
2017-11-21,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,253d2f933ee66eacd61f5490ef811e6e79628e3f8065c39678243817e14e13bb,388.4085055274,819.4979898547,470.8340070915,532.4207918322,validation_selection
2017-11-22,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,661bc727be71d8edaa3e33568ece41dcba5e83f5a51d4a7f15021710b06a4fec,387.5853653061,818.6748496333,472.9828714674,534.8356237554,validation_selection
2017-11-23,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,931771aca333a1c5899c673b62d92ab32b17b396510d27397dcae75f3c021fba,397.8106831967,828.9001675239,469.9953037430,518.9864821516,validation_selection
2017-11-24,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,21814eac795e36fbba04e5fc024883245775e63b43688e1644c7992c1851b71e,374.2179774508,812.9040711171,449.1537411097,546.5078934349,validation_selection
2017-11-25,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,005a041732f29605c638a31f881d1949b004a612dedf73ce016ad269a6a83e2a,366.3815161930,810.3395584344,429.9577769039,485.3439260346,validation_selection
2017-11-26,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,a4cebfda7b387a30ef6a72c4af89e7ffa8ca5ca3433ffc38009397d05229e7c5,365.6693618798,809.8247892502,442.2732752027,510.1360872046,validation_selection
2017-11-27,robust_lambda_0.25,0.2500000000,0.9000000000,100,30,0,761cab3b51ec5d5b59e2b85ac206992ba1834ecaff86171c02911d0bcd6d0d0d,376.5106060038,811.0300131194,454.7397487868,564.3125129205,validation_selection
