date,method,solver_success,solver_status,soc_violations,power_violations,simultaneous_charge_discharge_violations,soc_transition_violations,max_abs_soc_transition_error,initial_soc_error,terminal_soc_error,nan_or_inf_count
2017-12-11,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-12,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-13,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-14,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-15,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-16,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-17,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-18,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-19,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-20,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-21,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-22,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-23,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-24,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-25,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-26,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-27,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-28,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-29,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-30,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
2017-12-31,LightGBM robust,True,0: optimal,0,0,0,0,0.0000000000,0.0000000000,0.0000000000,0
