timestamp,date,method,actual_load,forecast_load,charge,discharge,battery_power,soc_start,soc_end,soc,realized_grid_load,scenario_expected_peak,scenario_cvar_peak,solver_status
2017-12-23 06:00:00,2017-12-23,LightGBM robust,385.0000000000,414.1363656589,17.6441345341,0.0000000000,17.6441345341,246.8755205822,263.6142163232,263.6142163232,402.6441345341,439.4019240909,490.3594978099,0: optimal
2017-12-23 07:00:00,2017-12-23,LightGBM robust,387.0000000000,412.7617246460,17.4026657176,0.0000000000,17.4026657176,263.6142163232,280.1238346311,280.1238346311,404.4026657176,439.4019240909,490.3594978099,0: optimal
2017-12-23 08:00:00,2017-12-23,LightGBM robust,382.0000000000,412.0153322233,17.4254252143,0.0000000000,17.4254252143,280.1238346311,296.6550444934,296.6550444934,399.4254252143,439.4019240909,490.3594978099,0: optimal
2017-12-23 09:00:00,2017-12-23,LightGBM robust,389.0000000000,410.3734038605,15.6647061153,0.0000000000,15.6647061153,296.6550444934,311.5158895539,311.5158895539,404.6647061153,439.4019240909,490.3594978099,0: optimal
2017-12-23 10:00:00,2017-12-23,LightGBM robust,385.0000000000,410.4634074775,11.6412678385,0.0000000000,11.6412678385,311.5158895539,322.5597659204,322.5597659204,396.6412678385,439.4019240909,490.3594978099,0: optimal
2017-12-23 11:00:00,2017-12-23,LightGBM robust,388.0000000000,413.2554138985,1.4884216988,0.0000000000,1.4884216988,322.5597659204,323.9718067265,323.9718067265,389.4884216988,439.4019240909,490.3594978099,0: optimal
2017-12-23 12:00:00,2017-12-23,LightGBM robust,394.0000000000,415.5977316788,4.3170563789,0.0000000000,4.3170563789,323.9718067265,328.0673260099,328.0673260099,398.3170563789,439.4019240909,490.3594978099,0: optimal
2017-12-23 13:00:00,2017-12-23,LightGBM robust,396.0000000000,418.0666769235,10.0311579841,0.0000000000,10.0311579841,328.0673260099,337.5837180496,337.5837180496,406.0311579841,439.4019240909,490.3594978099,0: optimal
2017-12-23 14:00:00,2017-12-23,LightGBM robust,395.0000000000,421.6947782139,2.7993072277,0.0000000000,2.7993072277,337.5837180496,340.2393740626,340.2393740626,397.7993072277,439.4019240909,490.3594978099,0: optimal
2017-12-23 15:00:00,2017-12-23,LightGBM robust,399.0000000000,421.2561199806,1.0163275254,0.0000000000,1.0163275254,340.2393740626,341.2035470114,341.2035470114,400.0163275254,439.4019240909,490.3594978099,0: optimal
2017-12-23 16:00:00,2017-12-23,LightGBM robust,399.0000000000,419.5573520663,7.0876228162,0.0000000000,7.0876228162,341.2035470114,347.9274564000,347.9274564000,406.0876228162,439.4019240909,490.3594978099,0: optimal
2017-12-23 17:00:00,2017-12-23,LightGBM robust,400.0000000000,417.3185148049,8.2315995971,0.0000000000,8.2315995971,347.9274564000,355.7366374539,355.7366374539,408.2315995971,439.4019240909,490.3594978099,0: optimal
2017-12-23 18:00:00,2017-12-23,LightGBM robust,399.0000000000,413.4295112476,11.7773400633,0.0000000000,11.7773400633,355.7366374539,366.9096032674,366.9096032674,410.7773400633,439.4019240909,490.3594978099,0: optimal
2017-12-23 19:00:00,2017-12-23,LightGBM robust,398.0000000000,428.9179031098,0.0000000000,2.9895436795,-2.9895436795,366.9096032674,363.7583475369,363.7583475369,395.0104563205,439.4019240909,490.3594978099,0: optimal
2017-12-23 20:00:00,2017-12-23,LightGBM robust,396.0000000000,429.3203349917,0.0000000000,4.7791826598,-4.7791826598,363.7583475369,358.7206466839,358.7206466839,391.2208173402,439.4019240909,490.3594978099,0: optimal
2017-12-23 21:00:00,2017-12-23,LightGBM robust,389.0000000000,425.3142201253,2.0432956859,0.0000000000,2.0432956859,358.7206466839,360.6590871741,360.6590871741,391.0432956859,439.4019240909,490.3594978099,0: optimal
2017-12-23 22:00:00,2017-12-23,LightGBM robust,392.0000000000,423.0659637784,6.0395946644,0.0000000000,6.0395946644,360.6590871741,366.3887497592,366.3887497592,398.0395946644,439.4019240909,490.3594978099,0: optimal
2017-12-23 23:00:00,2017-12-23,LightGBM robust,392.0000000000,425.1128657140,0.0000000000,0.0000000000,0.0000000000,366.3887497592,366.3887497592,366.3887497592,392.0000000000,439.4019240909,490.3594978099,0: optimal
2017-12-24 00:00:00,2017-12-24,LightGBM robust,391.0000000000,426.1043275274,5.4013784511,0.0000000000,5.4013784511,366.3887497592,371.5129472822,371.5129472822,396.4013784511,449.2683499662,551.8189901668,0: optimal
