date,controller,battery_size,original_peak,realized_peak,peak_reduction,peak_reduction_pct,total_charge,total_discharge,throughput,initial_soc,initial_soc_error,terminal_soc,terminal_soc_error,forecast_peak,solver_status
2017-12-04,LightGBM,Medium,465.0000000000,445.6629787220,19.3370212780,4.1584991996,265.7667184586,239.1900466127,504.9567650713,366.3887497592,0.0000000000,366.3887497592,0.0000000000,432.7141249985,0: optimal
2017-12-05,LightGBM,Medium,471.0000000000,450.9540102204,20.0459897796,4.2560487855,243.1132501627,218.8019251464,461.9151753091,366.3887497592,0.0000000000,366.3887497592,0.0000000000,439.5237759250,0: optimal
2017-12-06,LightGBM,Medium,475.0000000000,451.2604385215,23.7395614785,4.9978024165,252.5023915647,227.2521524082,479.7545439729,366.3887497592,0.0000000000,366.3887497592,0.0000000000,442.0476047839,0: optimal
2017-12-07,LightGBM,Medium,483.0000000000,448.3542067712,34.6457932288,7.1730420764,261.8354763215,235.6519286894,497.4874050109,366.3887497592,0.0000000000,366.3887497592,0.0000000000,442.3093540429,0: optimal
2017-12-08,LightGBM,Medium,483.0000000000,450.1647720908,32.8352279092,6.7981838321,293.9404764364,264.5464287928,558.4869052292,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.9851074780,0: optimal
2017-12-09,LightGBM,Medium,432.0000000000,423.6828967178,8.3171032822,1.9252553894,108.2228746076,97.4005871468,205.6234617544,366.3887497592,0.0000000000,366.3887497592,0.0000000000,418.8652609737,0: optimal
2017-12-10,LightGBM,Medium,429.0000000000,424.1932132151,4.8067867849,1.1204631200,80.9977745655,72.8979971090,153.8957716745,366.3887497592,0.0000000000,366.3887497592,0.0000000000,412.9026783443,0: optimal
2017-12-11,LightGBM,Medium,469.0000000000,443.6890951678,25.3109048322,5.3967814141,282.1643682028,253.9479313825,536.1122995854,366.3887497592,0.0000000000,366.3887497592,0.0000000000,435.5573469746,0: optimal
2017-12-12,LightGBM,Medium,468.0000000000,440.2360154829,27.7639845171,5.9324753242,259.6428805502,233.6785924952,493.3214730453,366.3887497592,0.0000000000,366.3887497592,0.0000000000,439.4744014207,0: optimal
2017-12-13,LightGBM,Medium,477.0000000000,450.6663017251,26.3336982749,5.5206914622,237.0052401443,213.3047161298,450.3099562741,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.7519158784,0: optimal
2017-12-14,LightGBM,Medium,471.0000000000,446.2645469436,24.7354530564,5.2516885470,267.7285545715,240.9556991144,508.6842536859,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.5353343313,0: optimal
2017-12-15,LightGBM,Medium,476.0000000000,446.4512446818,29.5487553182,6.2077217055,258.3248194319,232.4923374887,490.8171569207,366.3887497592,0.0000000000,366.3887497592,0.0000000000,433.6092133495,0: optimal
2017-12-16,LightGBM,Medium,425.0000000000,418.7640487134,6.2359512866,1.4672826557,109.8573125018,98.8715812517,208.7288937535,366.3887497592,0.0000000000,366.3887497592,0.0000000000,417.2644408424,0: optimal
2017-12-17,LightGBM,Medium,423.0000000000,417.0710256459,5.9289743541,1.4016487835,54.9181064545,49.4262958090,104.3444022635,366.3887497592,0.0000000000,366.3887497592,0.0000000000,410.0747160691,0: optimal
2017-12-18,LightGBM,Medium,462.0000000000,437.3496797295,24.6503202705,5.3355671581,251.2968877823,226.1671990041,477.4640867864,366.3887497592,0.0000000000,366.3887497592,0.0000000000,433.0766914538,0: optimal
2017-12-19,LightGBM,Medium,467.0000000000,449.4873039160,17.5126960840,3.7500419880,206.1267187250,185.5140468525,391.6407655774,366.3887497592,0.0000000000,366.3887497592,0.0000000000,434.8995939149,0: optimal
2017-12-20,LightGBM,Medium,461.0000000000,447.1153150212,13.8846849788,3.0118622514,221.5989659661,199.4390693695,421.0380353356,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.5943126516,0: optimal
2017-12-21,LightGBM,Medium,460.0000000000,439.1374814600,20.8625185400,4.5353301174,193.3653587195,174.0288228475,367.3941815670,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.1957067426,0: optimal
2017-12-22,LightGBM,Medium,444.0000000000,440.9836163594,3.0163836406,0.6793656848,203.4004779733,183.0604301760,386.4609081494,366.3887497592,0.0000000000,366.3887497592,0.0000000000,427.5319495486,0: optimal
2017-12-23,LightGBM,Medium,400.0000000000,398.0538801931,1.9461198069,0.4865299517,79.3302757438,71.3972481694,150.7275239132,366.3887497592,0.0000000000,366.3887497592,0.0000000000,412.6232924680,0: optimal
2017-12-24,LightGBM,Medium,395.0000000000,395.1001150393,-0.1001150393,-0.0253455796,42.5489141176,38.2940227058,80.8429368234,366.3887497592,0.0000000000,366.3887497592,0.0000000000,417.9011701029,0: optimal
2017-12-25,LightGBM,Medium,390.0000000000,407.5149689187,-17.5149689187,-4.4910176715,199.3215506368,179.3893955731,378.7109462099,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.0439979004,0: optimal
2017-12-26,LightGBM,Medium,400.0000000000,401.9931779201,-1.9931779201,-0.4982944800,125.5540191875,112.9986172688,238.5526364563,366.3887497592,0.0000000000,366.3887497592,0.0000000000,433.2850313032,0: optimal
2017-12-27,LightGBM,Medium,426.0000000000,426.4451887767,-0.4451887767,-0.1045044077,31.3257821931,28.1932039738,59.5189861670,366.3887497592,0.0000000000,366.3887497592,0.0000000000,433.4031909193,0: optimal
2017-12-28,LightGBM,Medium,427.0000000000,428.8743022740,-1.8743022740,-0.4389466684,56.7443692098,51.0699322888,107.8143014986,366.3887497592,0.0000000000,366.3887497592,0.0000000000,427.9490783094,0: optimal
2017-12-29,LightGBM,Medium,430.0000000000,423.6168397793,6.3831602207,1.4844558653,53.4972202232,48.1474982009,101.6447184241,366.3887497592,0.0000000000,366.3887497592,0.0000000000,421.5945218757,0: optimal
2017-12-30,LightGBM,Medium,411.0000000000,412.7162280326,-1.7162280326,-0.4175737306,30.9981654969,27.8983489472,58.8965144441,366.3887497592,0.0000000000,366.3887497592,0.0000000000,412.7788622032,0: optimal
2017-12-31,LightGBM,Medium,404.0000000000,406.2059178860,-2.2059178860,-0.5460192787,23.0288985035,20.7260086531,43.7549071566,366.3887497592,0.0000000000,366.3887497592,0.0000000000,408.6428785605,0: optimal
