experiment,setting,date,controller,battery_size,solver_success,soc_violations,power_violations,simultaneous_charge_discharge_violations,initial_soc_error,terminal_soc_error,initial_soc_violations,terminal_soc_violations
capacity_sensitivity,0.5000,2017-12-29,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-30,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-31,Persistence,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-02,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-03,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-04,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-05,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-06,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-07,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-08,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-09,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-10,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-11,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-12,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-13,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-14,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-15,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-16,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-17,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-18,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-19,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-20,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-21,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-22,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-23,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-24,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-25,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-26,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-27,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-28,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-29,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-30,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-31,LightGBM,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-02,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-03,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-04,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-05,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-06,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-07,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-08,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-09,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-10,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-11,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-12,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-13,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-14,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-15,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-16,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-17,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-18,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-19,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-20,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-21,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-22,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-23,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-24,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-25,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-26,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-27,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-28,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-29,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-30,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.5000,2017-12-31,Oracle,capacity_0.50x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-02,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-03,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-04,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-05,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-06,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-07,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-08,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-09,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-10,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-11,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-12,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-13,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-14,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-15,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-16,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-17,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
capacity_sensitivity,0.7500,2017-12-18,Persistence,capacity_0.75x,True,0,0,0,0.0000000000,0.0000000000,0,0
