date,lgbm_forecast_mae,lgbm_forecast_rmse,lgbm_forecast_mape,lgbm_realized_peak,lgbm_peak_reduction,lgbm_peak_reduction_pct,lgbm_charge_energy,lgbm_discharge_energy,lgbm_soc_min,lgbm_soc_max,lgbm_objective_value,persistence_forecast_mae,persistence_forecast_rmse,persistence_forecast_mape,persistence_realized_peak,persistence_peak_reduction,persistence_peak_reduction_pct,persistence_charge_energy,persistence_discharge_energy,persistence_soc_min,persistence_soc_max,persistence_objective_value,oracle_forecast_mae,oracle_forecast_rmse,oracle_forecast_mape,oracle_realized_peak,oracle_peak_reduction,oracle_peak_reduction_pct,oracle_charge_energy,oracle_discharge_energy,oracle_soc_min,oracle_soc_max,oracle_objective_value,baseline_peak,lgbm_decision_regret,lgbm_peak_reduction_regret,persistence_decision_regret,persistence_peak_reduction_regret,lgbm_mae,lgbm_rmse,persistence_mae,persistence_rmse
2017-12-12,3.5041405287,4.2048009901,0.8028286176,440.2360154829,27.7639845171,5.9324753242,259.6428805502,233.6785924952,332.7416808164,579.0605450521,439.4748947422,3.1666666667,3.8514066694,0.7190538689,442.5198237885,25.4801762115,5.4444820965,284.7577092511,256.2819383260,334.5514397832,604.6963225409,436.5203648282,0.0000000000,0.0000000000,0.0000000000,436.0486725664,31.9513274336,6.8272067166,251.6814159292,226.5132743363,340.5896013087,579.3555570304,436.0491507611,468.0000000000,4.1873429166,4.1873429166,6.4711512222,6.4711512222,3.5041405287,4.2048009901,3.1666666667,3.8514066694
2017-12-13,4.5718693552,5.6875695347,1.0319257121,450.6663017251,26.3336982749,5.5206914622,237.0052401443,213.3047161298,345.0052878335,569.8482007088,436.7523661884,4.0416666667,5.2161607848,0.9059315144,450.0486725664,26.9513274336,5.6501734662,251.6814159292,226.5132743363,340.5896013087,579.3555570304,436.0491507611,0.0000000000,0.0000000000,0.0000000000,437.0929203540,39.9070796460,8.3662640767,292.3008849558,263.0707964602,329.0374931837,606.3384607467,437.0934757257,477.0000000000,13.5733813712,13.5733813712,12.9557522124,12.9557522124,4.5718693552,5.6875695347,4.0416666667,5.2161607848
2017-12-14,2.7857791523,3.3719268087,0.6416857385,446.2645469436,24.7354530564,5.2516885470,267.7285545715,240.9556991144,336.8522088022,590.8418169354,437.5358430156,3.3333333333,4.5734742447,0.7511801620,449.0929203540,21.9070796460,4.6511846382,292.3008849558,263.0707964602,329.0374931837,606.3384607467,437.0934757257,0.0000000000,0.0000000000,0.0000000000,436.8728070175,34.1271929825,7.2456885313,279.4736842105,251.5263157895,346.7077322163,611.8397486715,436.8733380175,471.0000000000,9.3917399260,9.3917399260,12.2201133364,12.2201133364,2.7857791523,3.3719268087,3.3333333333,4.5734742447
2017-12-15,3.7463132479,5.0865674923,0.8385778928,446.4512446818,29.5487553182,6.2077217055,258.3248194319,232.4923374887,333.5340449802,578.6024866472,433.6097041666,4.3333333333,5.3150729064,0.9921262372,443.8728070175,32.1271929825,6.7494102904,279.4736842105,251.5263157895,346.7077322163,611.8397486715,436.8733380175,0.0000000000,0.0000000000,0.0000000000,436.1725663717,39.8274336283,8.3671079051,271.4159292035,244.2743362832,324.9405246045,582.4282834648,436.1730820619,476.0000000000,10.2786783101,10.2786783101,7.7002406459,7.7002406459,3.7463132479,5.0865674923,4.3333333333,5.3150729064
2017-12-16,5.1598896513,6.4045484074,1.2456123228,418.7640487134,6.2359512866,1.4672826557,109.8573125018,98.8715812517,358.0227729597,462.2425704989,417.2646495713,23.2083333333,29.5839201820,5.5850907170,435.1725663717,-10.1725663717,-2.3935450286,271.4159292035,244.2743362832,324.9405246045,582.4282834648,436.1730820619,0.0000000000,0.0000000000,0.0000000000,412.1504424779,12.8495575221,3.0234252993,76.1061946903,68.4955752212,364.0632163649,436.2638921457,412.1505870796,425.0000000000,6.6136062355,6.6136062355,23.0221238938,23.0221238938,5.1598896513,6.4045484074,23.2083333333,29.5839201820
2017-12-17,2.7596057124,3.5691470058,0.6697057934,417.0710256459,5.9289743541,1.4016487835,54.9181064545,49.4262958090,360.2753759973,410.3766694942,410.0748204135,2.2083333333,2.6060826285,0.5381798409,416.1504424779,6.8495575221,1.6192807381,76.1061946903,68.4955752212,364.0632163649,436.2638921457,412.1505870796,0.0000000000,0.0000000000,0.0000000000,411.3612334802,11.6387665198,2.7514814468,76.6960352423,69.0264317181,362.8573075264,435.6175551874,411.3613792026,423.0000000000,5.7097921657,5.7097921657,4.7892089977,4.7892089977,2.7596057124,3.5691470058,2.2083333333,2.6060826285
2017-12-18,3.5972139241,4.4446941761,0.8544325495,437.3496797295,24.6503202705,5.3355671581,251.2968877823,226.1671990041,346.1540460998,584.5552063910,433.0771689179,20.7500000000,26.0528309402,4.6447451501,457.3612334802,4.6387665198,1.0040620173,76.6960352423,69.0264317181,362.8573075264,435.6175551874,411.3613792026,0.0000000000,0.0000000000,0.0000000000,431.0660792952,30.9339207048,6.6956538322,265.8590308370,239.2731277533,353.8678019136,606.0838241045,431.0665844273,462.0000000000,6.2836004343,6.2836004343,26.2951541850,26.2951541850,3.5972139241,4.4446941761,20.7500000000,26.0528309402
2017-12-19,5.3251065136,6.7314697534,1.1957535283,449.4873039160,17.5126960840,3.7500419880,206.1267187250,185.5140468525,341.1379051888,536.6868805251,434.8999855557,9.1666666667,10.5118980208,2.1263984338,449.0660792952,17.9339207048,3.8402399796,265.8590308370,239.2731277533,353.8678019136,606.0838241045,431.0665844273,0.0000000000,0.0000000000,0.0000000000,439.9911894273,27.0088105727,5.7834712147,227.8854625551,205.0969162996,338.9020094452,555.0931416397,439.9916224097,467.0000000000,9.4961144887,9.4961144887,9.0748898678,9.0748898678,5.3251065136,6.7314697534,9.1666666667,10.5118980208
2017-12-20,5.7802465185,6.5205684871,1.3373687328,447.1153150212,13.8846849788,3.0118622514,221.5989659661,199.4390693695,345.2720435467,555.4992814241,437.5947336896,6.0000000000,7.2284161474,1.3700423215,449.9911894273,11.0088105727,2.3880283238,227.8854625551,205.0969162996,338.9020094452,555.0931416397,439.9916224097,0.0000000000,0.0000000000,0.0000000000,435.7743362832,25.2256637168,5.4719444071,195.8407079646,176.2566371681,319.8109184531,505.6017271776,435.7747083805,461.0000000000,11.3409787380,11.3409787380,14.2168531441,14.2168531441,5.7802465185,6.5205684871,6.0000000000,7.2284161474
2017-12-21,5.9454326641,6.6770200779,1.4080780836,439.1374814600,20.8625185400,4.5353301174,193.3653587195,174.0288228475,333.7999200295,517.2424062682,436.1960741368,5.4583333333,6.4839545546,1.2978550126,438.7743362832,21.2256637168,4.6142747210,195.8407079646,176.2566371681,319.8109184531,505.6017271776,435.7747083805,0.0000000000,0.0000000000,0.0000000000,431.0396475771,28.9603524229,6.2957287876,229.5154185022,206.5638766520,321.6877957682,539.4252399464,431.0400836564,460.0000000000,8.0978338829,8.0978338829,7.7346887061,7.7346887061,5.9454326641,6.6770200779,5.4583333333,6.4839545546
2017-12-22,16.1377560356,19.4769747107,3.9331001945,440.9836163594,3.0163836406,0.6793656848,203.4004779733,183.0604301760,329.8604975928,522.8231338616,427.5323360096,18.7916666667,22.6043874797,4.5733933326,442.0396475771,1.9603524229,0.4415208160,229.5154185022,206.5638766520,321.6877957682,539.4252399464,431.0400836564,0.0000000000,0.0000000000,0.0000000000,412.9288888889,31.0711111111,6.9979979980,172.9333333333,155.6400000000,269.0791416005,429.4108353413,412.9292174622,444.0000000000,28.0547274705,28.0547274705,29.1107586882,29.1107586882,16.1377560356,19.4769747107,18.7916666667,22.6043874797
2017-12-23,21.4177496524,21.6579136859,5.4789640175,398.0538801931,1.9461198069,0.4865299517,79.3302757438,71.3972481694,366.3887497592,441.6480573871,412.6234431955,21.9166666667,26.6630205841,5.6214721472,415.9288888889,-15.9288888889,-3.9822222222,172.9333333333,155.6400000000,269.0791416005,429.4108353413,412.9292174622,0.0000000000,0.0000000000,0.0000000000,391.1409691630,8.8590308370,2.2147577093,63.8325991189,57.4493392070,366.1686440895,424.9145687279,391.1410904449,400.0000000000,6.9129110301,6.9129110301,24.7879197259,24.7879197259,21.4177496524,21.6579136859,21.9166666667,26.6630205841
2017-12-24,28.0155496275,28.1949118465,7.1902297996,395.1001150393,-0.1001150393,-0.0253455796,42.5489141176,38.2940227058,365.2735321225,405.1975390230,417.9012509459,3.8333333333,4.4534630720,0.9821836276,397.1409691630,-2.1409691630,-0.5420175096,63.8325991189,57.4493392070,366.1686440895,424.9145687279,391.1410904449,0.0000000000,0.0000000000,0.0000000000,389.8333333333,5.1666666667,1.3080168776,30.0000000000,27.0000000000,361.9615610350,388.8409211464,389.8333903333,395.0000000000,5.2667817060,5.2667817060,7.3076358297,7.3076358297,28.0155496275,28.1949118465,3.8333333333,4.4534630720
2017-12-25,50.4218247728,52.8427836957,13.0591875476,407.5149689187,-17.5149689187,-4.4910176715,199.3215506368,179.3893955731,340.4450029736,529.5380290043,437.0443766114,3.9166666667,4.7958315233,1.0172461933,389.8333333333,0.1666666667,0.0427350427,30.0000000000,27.0000000000,361.9615610350,388.8409211464,389.8333903333,0.0000000000,0.0000000000,0.0000000000,385.8991228070,4.1008771930,1.0515069726,25.7894736842,23.2105263158,353.4899856190,374.3684153169,385.8991718070,390.0000000000,21.6158461117,21.6158461117,3.9342105263,3.9342105263,50.4218247728,52.8427836957,3.9166666667,4.7958315233
2017-12-26,44.8452228899,45.8237453006,11.5644374626,401.9931779201,-1.9931779201,-0.4982944800,125.5540191875,112.9986172688,352.5930075838,467.8661867357,433.2852698559,5.2083333333,6.0449703611,1.3330767234,395.8991228070,4.1008771930,1.0252192982,25.7894736842,23.2105263158,353.4899856190,374.3684153169,385.8991718070,0.0000000000,0.0000000000,0.0000000000,388.2522123894,11.7477876106,2.9369469027,80.5309734513,72.4778761062,357.1327910326,433.5311805217,388.2523653982,400.0000000000,13.7409655307,13.7409655307,7.6469104176,7.6469104176,44.8452228899,45.8237453006,5.2083333333,6.0449703611
2017-12-27,31.1893334935,35.0036258796,7.9175082224,426.4451887767,-0.4451887767,-0.1045044077,31.3257821931,28.1932039738,353.9812920288,375.7582873481,433.4032504383,14.1666666667,16.9656515741,3.4414985115,417.2522123894,8.7477876106,2.0534712701,80.5309734513,72.4778761062,357.1327910326,433.5311805217,388.2523653982,0.0000000000,0.0000000000,0.0000000000,402.8165938865,23.1834061135,5.4421141112,175.9825327511,158.3842794760,366.3887497592,533.3404393288,402.8169282533,426.0000000000,23.6285948902,23.6285948902,14.4356185029,14.4356185029,31.1893334935,35.0036258796,14.1666666667,16.9656515741
2017-12-28,16.3314121014,18.5437926873,4.0212641254,428.8743022740,-1.8743022740,-0.4389466684,56.7443692098,51.0699322888,336.7900132999,386.4363736726,427.9491861237,9.7083333333,12.0675183861,2.3804541507,431.8165938865,-4.8165938865,-1.1280079359,175.9825327511,158.3842794760,366.3887497592,533.3404393288,402.8169282533,0.0000000000,0.0000000000,0.0000000000,411.9956140351,15.0043859649,3.5139077201,128.9473684211,116.0526315789,345.5301998771,465.7476063060,411.9958590351,427.0000000000,16.8786882389,16.8786882389,19.8209798514,19.8209798514,16.3314121014,18.5437926873,9.7083333333,12.0675183861
2017-12-29,12.0159504239,14.7790060251,2.9912083143,423.6168397793,6.3831602207,1.4844558653,53.4972202232,48.1474982009,349.1318396735,397.6355049799,421.5946235204,2.9166666667,3.7859388972,0.7140400357,415.9956140351,14.0043859649,3.2568339453,128.9473684211,116.0526315789,345.5301998771,465.7476063060,411.9958590351,0.0000000000,0.0000000000,0.0000000000,410.1858407080,19.8141592920,4.6079440214,134.6017699115,121.1415929204,347.6585511933,475.3530021963,410.1860964513,430.0000000000,13.4309990713,13.4309990713,5.8097733271,5.8097733271,12.0159504239,14.7790060251,2.9166666667,3.7859388972
2017-12-30,7.3580365136,8.6208747830,1.8226020307,412.7162280326,-1.7162280326,-0.4175737306,30.9981654969,27.8983489472,344.4649267798,366.3887497592,412.7789210997,8.0833333333,10.4243305141,1.9875029208,418.1858407080,-7.1858407080,-1.7483797343,134.6017699115,121.1415929204,347.6585511933,475.3530021963,410.1860964513,0.0000000000,0.0000000000,0.0000000000,405.4513274336,5.5486725664,1.3500419870,38.3185840708,34.4867256637,363.6350495666,399.9872502795,405.4514002389,411.0000000000,7.2649005990,7.2649005990,12.7345132743,12.7345132743,7.3580365136,8.6208747830,8.0833333333,10.4243305141
2017-12-31,8.4219248167,9.1245467455,2.1078667935,406.2059178860,-2.2059178860,-0.5460192787,23.0288985035,20.7260086531,356.2665063298,368.6862783738,408.6429223154,5.1666666667,6.0690471520,1.2918775124,405.4513274336,-1.4513274336,-0.3592394638,38.3185840708,34.4867256637,363.6350495666,399.9872502795,405.4514002389,0.0000000000,0.0000000000,0.0000000000,400.2035398230,3.7964601770,0.9397178656,18.8495575221,16.9646017699,356.6920310933,367.2143001218,400.2035756372,404.0000000000,6.0023780630,6.0023780630,5.2477876106,5.2477876106,8.4219248167,9.1245467455,5.1666666667,6.0690471520
