building,split,method,MAE,RMSE,MAPE,bias,actual_p75,peak_quartile_MAE,peak_quartile_bias,daily_peak_hour_MAE,daily_peak_hour_exact_rate,daily_top3_overlap,peak_region_threshold,peak_region_MAE,peak_region_RMSE,normalized_MAE,normalized_RMSE,normalized_peak_region_MAE,normalized_peak_region_RMSE,no_battery_peak,post_dispatch_peak,absolute_peak_reduction,peak_reduction_percentage,mean_daily_peak,worst_10pct_daily_peak,mean_regret_vs_oracle,p90_regret,max_regret,oracle_capture_ratio,battery_throughput,equivalent_full_cycles
Hog_office_Lavon,test,Phase8_DOEF,2.3185902777777776,3.0135117034459245,22.782562131427998,-0.05758750000000011,14.5745,2.2565444444444442,-2.087411111111111,8.833333333333334,0.06666666666666667,0.32222222222222213,14.5745,2.2565444444444442,3.0090192339032997,0.007793500443586122,0.01012934670806411,0.007584945170047469,0.010114246125736645,19.192,18.90800652173914,0.28399347826086085,1.4797492614675951,15.65111823437829,18.568389119559985,3.5933695765587657,6.163925364511197,7.482843961352653,-0.12636612378092166,923.1554462949765,0.6124364874532854
Hog_office_Lavon,test,PeakAwareLightGBM,12.676097910965105,15.215975741440655,141.48635068601132,12.673893890589516,14.5745,6.066380444618671,6.057564363116315,8.4,0.03333333333333333,0.08888888888888889,14.5745,6.066380444618671,7.678111390987325,0.04260829334052619,0.051145609824677744,0.02039098461648476,0.025808511794897897,19.192,27.097590099287032,-7.905590099287032,-41.192111813709005,17.622390689980172,23.803711741403415,5.564642032160647,8.391884029795499,12.869603257181765,-0.7475760055449054,1901.9490667978741,1.2617842536267174
Hog_office_Joey,test,Persistence,67.87595694444444,106.09260291286282,5.587313885996922,-9.958148611111111,1340.6132499999999,82.11776111111112,-62.739661111111104,1.8333333333333333,0.16666666666666666,0.4333333333333334,1340.6132499999999,82.11776111111112,127.83805854302544,0.05700342521023035,0.0890984382062113,0.06896394341460431,0.107360655189626,1509.981,1684.6688156321675,-174.68781563216749,-11.568875080690914,1353.9330448046846,1596.8312519458923,104.56113720207792,245.5094409264566,368.6618093473626,0.06937955858544347,52122.628109186946,8.639506962411147
Hog_office_Joey,test,Day,67.87595694444444,106.09260291286282,5.587313885996922,-9.958148611111111,1340.6132499999999,82.11776111111112,-62.739661111111104,1.8333333333333333,0.16666666666666666,0.4333333333333334,1340.6132499999999,82.11776111111112,127.83805854302544,0.05700342521023035,0.0890984382062113,0.06896394341460431,0.107360655189626,1509.981,1684.6688156321675,-174.68781563216749,-11.568875080690914,1353.9330448046846,1596.8312519458923,104.56113720207792,245.5094409264566,368.6618093473626,0.06937955858544347,52122.628109186946,8.639506962411147
Hog_office_Joey,test,Week,104.07055277777778,158.19844487027993,8.141066466413061,-66.80950555555556,1340.6132499999999,153.41988333333327,-120.0231611111111,2.6,0.13333333333333333,0.3777777777777777,1340.6132499999999,153.41988333333327,205.04319007479862,0.08740028485655027,0.1328578428429192,0.12884472262412403,0.1721988856799829,1509.981,1668.6728156321676,-158.69181563216762,-10.509524002763452,1348.473454353323,1579.9359874226166,99.10154675071621,197.12450509193008,343.94952177251844,0.06460750877165905,56659.70306905483,9.391542923119939
Hog_office_Joey,test,DayWeek,72.77661736111111,108.21683020965521,5.774828449035961,-38.38382708333333,1340.6132499999999,108.32789999999999,-91.3814111111111,1.9666666666666666,0.2,0.4,1340.6132499999999,108.32789999999999,146.74007807280836,0.06111908622066505,0.09088240173752983,0.09097568010548296,0.12323490440971724,1509.981,1511.959291605847,-1.9782916058470619,-0.13101433765372292,1333.2124182135651,1503.717461938136,83.84051061095774,166.4972604157916,195.95228532104215,0.2420254527558246,51902.09139464302,8.602952234649182
Hog_office_Joey,test,LightGBM,74.94532408711476,104.67524724552331,6.067542211476224,-53.033883158628406,1340.6132499999999,105.28345614609817,-101.7331318042755,2.1,0.23333333333333334,0.4666666666666667,1340.6132499999999,105.28345614609817,138.77837498174156,0.06294040436075193,0.08790811793057066,0.08841890248723618,0.11654852579896481,1509.981,1518.8915827260519,-8.91058272605187,-0.5901122415481964,1334.8763451896439,1498.1988451117313,85.5044375870371,161.70405824035137,197.62818625028103,0.22738571212033715,51666.9126459528,8.56397053878259
Hog_office_Joey,test,XGBoost,76.38194465806748,105.29606219714807,6.199908998145062,-54.00057185262044,1340.6132499999999,106.37571187065971,-104.18792702907987,2.3333333333333335,0.26666666666666666,0.3777777777777778,1340.6132499999999,106.37571187065971,137.119831115574,0.06414690364206313,0.08842948927113681,0.08933619809982622,0.11515565142210187,1509.981,1528.625261742676,-18.644261742676008,-1.2347348571058847,1340.1482295784263,1515.9292434404495,90.77632197581929,184.8897682504027,212.6182554578711,0.1705360190507176,52455.439501721776,8.694671608693977
Hog_office_Joey,test,CatBoost,76.93816619475677,106.93232519265298,6.283935005767302,-52.009471268710705,1340.6132499999999,103.23447855911027,-100.1043623311595,2.7,0.23333333333333334,0.38888888888888895,1340.6132499999999,103.23447855911027,136.05318331020464,0.06461402829406529,0.08980365178003336,0.0866981349887698,0.11425986179148503,1509.981,1504.8690217728508,5.111978227149166,0.3385458642955882,1330.5201745781899,1493.362852320139,81.14826697558273,166.20502910125765,184.0728825991937,0.2589334578685608,52247.96568070744,8.660282100985023
Hog_office_Joey,test,Phase8_DOEF,68.18765083857419,101.86678874194878,5.423713108574641,-42.77884390592192,1340.6132499999999,104.22111710264032,-94.48692731906048,2.1333333333333333,0.2,0.4444444444444445,1340.6132499999999,104.22111710264032,140.25219651198412,0.057265191237294295,0.08554952496965551,0.0875267314308307,0.11778626710169404,1509.981,1525.3382390611764,-15.357239061176415,-1.0170484967146218,1329.8076170362988,1497.4220494569756,80.4357094336918,138.01626644035002,209.3312327763715,0.2842006290248963,51114.34155733375,8.472379958251008
Hog_office_Joey,test,PeakAwareLightGBM,74.94532408711476,104.67524724552331,6.067542211476224,-53.033883158628406,1340.6132499999999,105.28345614609817,-101.7331318042755,2.1,0.23333333333333334,0.4666666666666667,1340.6132499999999,105.28345614609817,138.77837498174156,0.06294040436075193,0.08790811793057066,0.08841890248723618,0.11654852579896481,1509.981,1518.8915827260519,-8.91058272605187,-0.5901122415481964,1334.8763451896439,1498.1988451117313,85.5044375870371,161.70405824035137,197.62818625028103,0.22738571212033715,51666.9126459528,8.56397053878259
Lamb_office_Caitlin,test,Persistence,16.434791666666666,32.39917946277515,56.65456427563312,2.0892361111111106,98.0625,24.35027777777778,-14.114722222222223,2.8666666666666667,0.26666666666666666,0.5333333333333332,98.0625,24.35027777777778,39.846361711788276,0.7646115583862568,1.507338066822783,1.132871302321847,1.8538104615141908,166.95,163.67934782608697,3.270652173913021,1.9590609008164248,96.68482546801374,157.17758889680542,7.362084105365767,13.289522141046394,13.568323046777955,-1.0066559841267448,1676.3513188197376,15.392861539551294
Lamb_office_Caitlin,test,Day,16.434791666666666,32.39917946277515,56.65456427563312,2.0892361111111106,98.0625,24.35027777777778,-14.114722222222223,2.8666666666666667,0.26666666666666666,0.5333333333333332,98.0625,24.35027777777778,39.846361711788276,0.7646115583862568,1.507338066822783,1.132871302321847,1.8538104615141908,166.95,163.67934782608697,3.270652173913021,1.9590609008164248,96.68482546801374,157.17758889680542,7.362084105365767,13.289522141046394,13.568323046777955,-1.0066559841267448,1676.3513188197376,15.392861539551294
