building,split,method,MAE,RMSE,MAPE,bias,actual_p75,peak_quartile_MAE,peak_quartile_bias,daily_peak_hour_MAE,daily_peak_hour_exact_rate,daily_top3_overlap,peak_region_threshold,peak_region_MAE,peak_region_RMSE,normalized_MAE,normalized_RMSE,normalized_peak_region_MAE,normalized_peak_region_RMSE
Lamb_office_Gerardo,test,CatBoost,3.496412421165685,4.913541237037814,33.52864320468735,1.1879967012893442,21.475,5.107318466828497,-3.6317679157487985,2.1666666666666665,0.3333333333333333,0.47777777777777775,21.475,5.107318466828497,6.673493737784381,0.40918753790985063,0.5750350928371646,0.5977129746228051,0.7810035381668142
Lamb_office_Gerardo,test,Phase8_DOEF,2.874078621623744,4.241482708365726,26.988520741470463,1.2166686397225823,21.475,4.379754995790131,-1.6748508309535122,2.6666666666666665,0.36666666666666664,0.5,21.475,4.379754995790131,5.594617911551641,0.3363553875459213,0.4963836234012547,0.5125657238050431,0.6547419620511884
Lamb_office_Gerardo,test,PeakAwareLightGBM,2.874078621623744,4.241482708365726,26.988520741470463,1.2166686397225823,21.475,4.379754995790131,-1.6748508309535122,2.6666666666666665,0.36666666666666664,0.5,21.475,4.379754995790131,5.594617911551641,0.3363553875459213,0.4963836234012547,0.5125657238050431,0.6547419620511884
Hog_office_Alexis,test,Persistence,3.0044513888888886,5.6629918232571885,17.165870169335168,0.040301388888888984,19.72925,5.600322222222222,-2.6034222222222225,6.533333333333333,0.1,0.3444444444444444,19.72925,5.600322222222222,8.147980410983926,0.15521740236590617,0.29256418781680443,0.28932652096157446,0.42094485489043987
Hog_office_Alexis,test,Day,3.0044513888888886,5.6629918232571885,17.165870169335168,0.040301388888888984,19.72925,5.600322222222222,-2.6034222222222225,6.533333333333333,0.1,0.3444444444444444,19.72925,5.600322222222222,8.147980410983926,0.15521740236590617,0.29256418781680443,0.28932652096157446,0.42094485489043987
Hog_office_Alexis,test,Week,2.8228208333333336,5.140415431087907,16.362586399547666,-0.22897361111111109,19.72925,4.211038888888889,-1.5535611111111112,4.133333333333334,0.06666666666666667,0.4444444444444444,19.72925,4.211038888888889,5.712755292131615,0.14583391787090966,0.26556659669909277,0.21755270197161367,0.2951350919093022
Hog_office_Alexis,test,DayWeek,2.4646597222222226,4.290183551904018,14.58545373489701,-0.09433611111111091,19.72925,4.010358333333334,-2.0784916666666664,4.866666666666666,0.16666666666666666,0.43333333333333335,19.72925,4.010358333333334,5.801927618496959,0.12733042751631524,0.22164151134618523,0.20718504727968678,0.2997419552163741
Hog_office_Alexis,test,LightGBM,2.072001256800829,3.346049313982176,11.941605667426495,-0.7131953800125811,19.72925,3.8351589980942524,-3.0219720734824334,4.933333333333334,0.1,0.3777777777777777,19.72925,3.8351589980942524,4.651040947475137,0.10704471836985059,0.1728651974950436,0.1981338155597751,0.24028429843610696
Hog_office_Alexis,test,XGBoost,2.1797651027679446,3.4063073038500775,12.355386104804387,-0.8172142590416803,19.72925,3.9311333064609104,-3.3478213484870065,4.066666666666666,0.16666666666666666,0.41111111111111115,19.72925,3.9311333064609104,4.722111997146228,0.11261206564058186,0.17597827454254603,0.20309208610914362,0.24395600494271308
Hog_office_Alexis,test,CatBoost,2.323326585518246,3.4332249512714554,13.305490781291837,-0.8696317396041373,19.72925,3.857945555822083,-3.233408280939742,3.4,0.16666666666666666,0.43333333333333335,19.72925,3.857945555822083,4.805278364427672,0.12002880751722128,0.17736890689759063,0.1993110255863559,0.24825258552357202
Hog_office_Alexis,test,Phase8_DOEF,1.9771231623710321,3.3636135365278133,11.657640555934574,-0.5275375993421402,19.72925,3.5372720466719247,-2.738927951437703,4.2,0.23333333333333334,0.4111111111111111,19.72925,3.5372720466719247,4.615885591461373,0.10214308094836232,0.17377260874762462,0.18274423762569106,0.23846808564601651
Hog_office_Alexis,test,PeakAwareLightGBM,2.072001256800829,3.346049313982176,11.941605667426495,-0.7131953800125811,19.72925,3.8351589980942524,-3.0219720734824334,4.933333333333334,0.1,0.3777777777777777,19.72925,3.8351589980942524,4.651040947475137,0.10704471836985059,0.1728651974950436,0.1981338155597751,0.24028429843610696
Hog_office_Byron,test,Persistence,60.779180555555556,118.63316446575271,6.465484238390198,4.8320833333333315,1041.28475,86.54378888888888,-60.35057777777777,1.2333333333333334,0.23333333333333334,0.6333333333333333,1041.28475,86.54378888888888,155.0744766204649,0.06378289483565416,0.12449602946231768,0.09082079315520643,0.16273827556684825
Hog_office_Byron,test,Day,60.779180555555556,118.63316446575271,6.465484238390198,4.8320833333333315,1041.28475,86.54378888888888,-60.35057777777777,1.2333333333333334,0.23333333333333334,0.6333333333333333,1041.28475,86.54378888888888,155.0744766204649,0.06378289483565416,0.12449602946231768,0.09082079315520643,0.16273827556684825
Hog_office_Byron,test,Week,30.790991666666656,47.803937368083666,3.2719613678603743,6.356077777777776,1041.28475,37.62938888888887,12.966266666666677,1.2333333333333334,0.16666666666666666,0.5999999999999999,1041.28475,37.62938888888887,43.51960433209637,0.03231268611075389,0.050166413597690016,0.039489037731202985,0.04567034831715345
Hog_office_Byron,test,DayWeek,36.52515138888889,61.227676986239246,3.869769299954023,5.594080555555555,1041.28475,54.12177777777779,-23.692155555555555,1.0666666666666667,0.26666666666666666,0.6555555555555554,1041.28475,54.12177777777779,81.42808594500222,0.03833022868356033,0.06425355601290246,0.056796482426466496,0.0854522715677507
Hog_office_Byron,test,LightGBM,26.567510964558156,44.34416903187631,2.943478679797083,-4.381301021146597,1041.28475,22.136409021757583,-6.36440476606941,1.5666666666666667,0.36666666666666664,0.6,1041.28475,22.136409021757583,27.67209603203947,0.027880480493622094,0.04653566310176434,0.02323039296956649,0.029039654285572054
Hog_office_Byron,test,XGBoost,25.513983532036672,41.878907345938806,2.8116703749969396,-2.328707109239366,1041.28475,23.164124574110236,-4.640166197374132,2.2,0.16666666666666666,0.5777777777777777,1041.28475,23.164124574110236,29.53161176426163,0.026774887610980763,0.04394856789220007,0.02430889834587308,0.030991067504859512
Hog_office_Byron,test,CatBoost,24.20452531684977,40.129979408338535,2.629525899851623,-2.3177067885140046,1041.28475,24.088617838062802,-8.316413776592803,1.6666666666666667,0.13333333333333333,0.5666666666666667,1041.28475,24.088617838062802,30.34743686214079,0.025400715816173387,0.04211320772940335,0.025279080176097955,0.03184721077541167
Hog_office_Byron,test,Phase8_DOEF,24.07500450889101,37.74265637965639,2.649281034159028,-2.3862247058061623,1041.28475,22.29530643490275,-9.829954923966639,1.1,0.3333333333333333,0.6444444444444444,1041.28475,22.29530643490275,28.81418442732327,0.02526479407459098,0.039607902914739306,0.023397143111632518,0.030238184824213036
