building,split,method,no_battery_peak,post_dispatch_peak,absolute_peak_reduction,peak_reduction_percentage,mean_daily_peak,worst_10pct_daily_peak,mean_regret_vs_oracle,p90_regret,max_regret,oracle_capture_ratio,battery_throughput,equivalent_full_cycles
Lamb_office_Gerardo,test,Phase8_DOEF,53.61,52.19,1.4200000000000017,2.6487595597836258,25.437111528756326,49.80104647760021,2.2312356472728343,4.524903111367715,7.131227128008561,-0.055435154091059397,610.5964888185725,14.103656222221113
Lamb_office_Gerardo,test,PeakAwareLightGBM,53.61,52.19,1.4200000000000017,2.6487595597836258,25.437111528756326,49.80104647760021,2.2312356472728343,4.524903111367715,7.131227128008561,-0.055435154091059397,610.5964888185725,14.103656222221113
Hog_office_Alexis,test,Oracle,40.164,33.16512084057908,6.998879159420923,17.425752314064642,23.19053591609092,32.60983512629337,0.0,0.0,0.0,1.0,1565.0062049708522,15.957650900781395
Hog_office_Alexis,test,Persistence,40.164,40.44062337662338,-0.27662337662337677,-0.6887346295771755,27.302001433157006,38.551230756383504,4.111465517066093,8.817310838570673,12.494653823671129,-1.2432860553619849,1623.8291046413137,16.557441045338937
Hog_office_Alexis,test,Day,40.164,40.44062337662338,-0.27662337662337677,-0.6887346295771755,27.302001433157006,38.551230756383504,4.111465517066093,8.817310838570673,12.494653823671129,-1.2432860553619849,1623.8291046413137,16.557441045338937
Hog_office_Alexis,test,Week,40.164,38.518,1.6460000000000008,4.0981973906981395,26.908770096979758,37.04864754860286,3.718234180888843,8.802119762336721,12.23789682534062,-1.6570805479725055,1708.814827454982,17.424001504909985
Hog_office_Alexis,test,DayWeek,40.164,37.89647798343622,2.267522016563781,5.645657844248036,26.186381509390557,36.52754013101811,2.9958455932996433,6.384266112566979,10.741227396504328,-0.6875055264131974,1765.4154696950768,18.001132309093787
Hog_office_Alexis,test,LightGBM,40.164,35.27688580281207,4.887114197187934,12.167897114799159,25.66416283652036,35.13191201681087,2.4736269204294503,4.658393154300694,8.39313367838924,-0.22194658555729285,1690.787841569035,17.240188593084117
Hog_office_Alexis,test,XGBoost,40.164,34.985611789037634,5.178388210962368,12.89310878140217,25.653083059353442,34.62939368103706,2.4625471432625283,5.046466731522584,9.093047996428414,-0.24926017480013252,1606.5444851977172,16.381197703837984
Hog_office_Alexis,test,CatBoost,40.164,35.47109660770924,4.692903392290759,11.68435263492371,25.594557555209466,34.99017074619284,2.40402163911855,4.649019687938429,7.32940860798638,-0.1827513646447377,1677.221065081749,17.101854392014864
Hog_office_Alexis,test,Phase8_DOEF,40.164,35.378314462452735,4.785685537547266,11.915360864324436,25.526491266585698,34.92008178076891,2.3359553504947903,4.179011410973429,8.491967146812769,-0.158198328857565,1633.933424491339,16.660470163207215
Hog_office_Alexis,test,PeakAwareLightGBM,40.164,35.27688580281207,4.887114197187934,12.167897114799159,25.66416283652036,35.13191201681087,2.4736269204294503,4.658393154300694,8.39313367838924,-0.22194658555729285,1690.787841569035,17.240188593084117
Hog_office_Byron,test,Oracle,1299.828,1077.9169760470024,221.91102395299754,17.07233756720101,942.4179608256364,1067.1737608875321,0.0,0.0,0.0,1.0,64573.45465484566,13.374608370192224
Hog_office_Byron,test,Persistence,1299.828,1252.4842070484578,47.34379295154213,3.642312132954678,1015.9961605242139,1214.8150587822345,73.57819969857749,184.97276183930344,215.16135358210317,-0.1287274030497604,67581.49135718077,13.997640126382725
Hog_office_Byron,test,Day,1299.828,1252.4842070484578,47.34379295154213,3.642312132954678,1015.9961605242139,1214.8150587822345,73.57819969857749,184.97276183930344,215.16135358210317,-0.1287274030497604,67581.49135718077,13.997640126382725
Hog_office_Byron,test,Week,1299.828,1108.2041950847238,191.6238049152762,14.742243197967438,985.0744145641203,1104.3004404574237,42.65645373848381,78.73622129032209,174.06269067631422,0.5305899310321629,69680.2552940238,14.432341132652205
Hog_office_Byron,test,DayWeek,1299.828,1152.7797916666666,147.04820833333338,11.312897424377178,989.5411648648777,1124.8758990100453,47.12320403924129,86.6843838348358,115.45693820031192,0.32640984659061184,71523.50832952159,14.814120109922714
Hog_office_Byron,test,LightGBM,1299.828,1121.992193029682,177.8358069703179,13.681487625310265,977.9091706882898,1113.479089435042,35.49120986265348,56.57478399620435,144.13889713874505,0.5705478242942726,66390.43150262015,13.750944960616017
