date,controller,battery_size,original_peak,realized_peak,peak_reduction,peak_reduction_pct,total_charge,total_discharge,throughput,initial_soc,initial_soc_error,terminal_soc,terminal_soc_error,forecast_peak,solver_status
2017-12-17,LightGBM,Medium,423.0000000000,419.0217628944,3.9782371056,0.9404815852,33.0551067644,29.7495960880,62.8047028523,366.3887497592,0.0000000000,366.3887497592,0.0000000000,415.9733585738,0: optimal
2017-12-18,LightGBM,Medium,462.0000000000,439.8755211761,22.1244788239,4.7888482303,232.1271957865,208.9144762078,441.0416719943,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.4244774707,0: optimal
2017-12-19,LightGBM,Medium,467.0000000000,447.8937642808,19.1062357192,4.0912710319,218.7340738288,196.8606664459,415.5947402748,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.5154727699,0: optimal
2017-12-20,LightGBM,Medium,461.0000000000,443.2903337975,17.7096662025,3.8415761828,218.5761256727,196.7185131055,415.2946387782,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.6879586779,0: optimal
2017-12-21,LightGBM,Medium,460.0000000000,440.3782836114,19.6217163886,4.2655905193,186.2009807850,167.5808827065,353.7818634915,366.3887497592,0.0000000000,366.3887497592,0.0000000000,431.8347205050,0: optimal
2017-12-22,LightGBM,Medium,444.0000000000,441.5190078506,2.4809921494,0.5587820156,204.5510832570,184.0959749313,388.6470581883,366.3887497592,0.0000000000,366.3887497592,0.0000000000,427.0870023712,0: optimal
2017-12-23,LightGBM,Medium,400.0000000000,403.6673386034,-3.6673386034,-0.9168346509,62.0350924022,55.8315831620,117.8666755641,366.3887497592,0.0000000000,366.3887497592,0.0000000000,418.0968498510,0: optimal
2017-12-24,LightGBM,Medium,395.0000000000,396.8207553075,-1.8207553075,-0.4609507108,40.5657076969,36.5091369273,77.0748446242,366.3887497592,0.0000000000,366.3887497592,0.0000000000,421.2463807966,0: optimal
2017-12-25,LightGBM,Medium,390.0000000000,409.6520917541,-19.6520917541,-5.0389978857,185.8184196230,167.2365776607,353.0549972837,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.3266104109,0: optimal
2017-12-26,LightGBM,Medium,400.0000000000,401.3937365546,-1.3937365546,-0.3484341387,113.4129397689,102.0716457920,215.4845855608,366.3887497592,0.0000000000,366.3887497592,0.0000000000,427.9412397613,0: optimal
2017-12-27,LightGBM,Medium,426.0000000000,423.1545647447,2.8454352553,0.6679425482,32.9486190797,29.6537571717,62.6023762514,366.3887497592,0.0000000000,366.3887497592,0.0000000000,427.7543354651,0: optimal
2017-12-28,LightGBM,Medium,427.0000000000,425.6316674442,1.3683325558,0.3204525892,84.7055770063,76.2350193056,160.9405963119,366.3887497592,0.0000000000,366.3887497592,0.0000000000,426.2672983806,0: optimal
2017-12-29,LightGBM,Medium,430.0000000000,422.2276818282,7.7723181718,1.8075158539,65.7001302465,59.1301172218,124.8302474683,366.3887497592,0.0000000000,366.3887497592,0.0000000000,422.6868476547,0: optimal
2017-12-30,LightGBM,Medium,411.0000000000,413.0309968208,-2.0309968208,-0.4941598104,44.5525819078,40.0973237171,84.6499056249,366.3887497592,0.0000000000,366.3887497592,0.0000000000,417.3664571087,0: optimal
2017-12-31,LightGBM,Medium,404.0000000000,409.9837735795,-5.9837735795,-1.4811320741,45.9209487540,41.3288538786,87.2498026327,366.3887497592,0.0000000000,366.3887497592,0.0000000000,415.1550552734,0: optimal
2017-12-02,Oracle,Medium,426.0000000000,416.0176211454,9.9823788546,2.3432814213,64.2290748899,57.8061674009,122.0352422907,366.3887497592,0.0000000000,366.3887497592,0.0000000000,416.0176211454,0: optimal
2017-12-03,Oracle,Medium,432.0000000000,417.8201754386,14.1798245614,3.2823667966,86.8421052632,78.1578947368,165.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,417.8201754386,0: optimal
2017-12-04,Oracle,Medium,465.0000000000,432.9868995633,32.0131004367,6.8845377283,276.8558951965,249.1703056769,526.0262008734,366.3887497592,0.0000000000,366.3887497592,0.0000000000,432.9868995633,0: optimal
2017-12-05,Oracle,Medium,471.0000000000,440.9559471366,30.0440528634,6.3787798012,249.4273127753,224.4845814978,473.9118942731,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.9559471366,0: optimal
2017-12-06,Oracle,Medium,475.0000000000,440.4247787611,34.5752212389,7.2789939450,261.9469026549,235.7522123894,497.6991150442,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.4247787611,0: optimal
2017-12-07,Oracle,Medium,483.0000000000,440.6150442478,42.3849557522,8.7753531578,307.6106194690,276.8495575221,584.4601769911,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.6150442478,0: optimal
2017-12-08,Oracle,Medium,483.0000000000,441.4493392070,41.5506607930,8.6026212822,297.8414096916,268.0572687225,565.8986784141,366.3887497592,0.0000000000,366.3887497592,0.0000000000,441.4493392070,0: optimal
2017-12-09,Oracle,Medium,432.0000000000,416.2444444444,15.7555555556,3.6471193416,78.6666666667,70.8000000000,149.4666666667,366.3887497592,0.0000000000,366.3887497592,0.0000000000,416.2444444444,0: optimal
2017-12-10,Oracle,Medium,429.0000000000,415.8421052632,13.1578947368,3.0671083303,92.1052631579,82.8947368421,175.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,415.8421052632,0: optimal
2017-12-11,Oracle,Medium,469.0000000000,436.5198237885,32.4801762115,6.9254107061,284.7577092511,256.2819383260,541.0396475771,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.5198237885,0: optimal
